2026-06-23 16:35:48 INFO  Utils:112 - [TestNG] Running:
  C:\Users\2494393\OneDrive - Cognizant\Desktop\Java-SDET\Projects\BloodConnect\BloodConnectTest\testng.xml

2026-06-23 16:35:57 INFO  TS005_HomePageInfo:12 - =========================================================
2026-06-23 16:35:57 INFO  TS005_HomePageInfo:13 - STARTING TEST: TC014_WhyDonateBloodSectionVisibility
2026-06-23 16:35:57 INFO  TS005_HomePageInfo:14 - =========================================================
2026-06-23 16:35:57 INFO  TS005_HomePageInfo:18 - Checking if the 'Why Donate Blood' section is visible on the Home page...
2026-06-23 16:35:57 INFO  TS005_HomePageInfo:22 - SUCCESS: 'Why Donate Blood' section is visible.
2026-06-23 16:36:06 INFO  TS005_HomePageInfo:36 - =========================================================
2026-06-23 16:36:06 INFO  TS005_HomePageInfo:37 - STARTING TEST: TC015_BenefitsOfDonatingBloodSectionVisibility
2026-06-23 16:36:06 INFO  TS005_HomePageInfo:38 - =========================================================
2026-06-23 16:36:06 INFO  TS005_HomePageInfo:42 - Checking if the 'Benefits of Donating Blood' section is visible on the Home page...
2026-06-23 16:36:06 INFO  TS005_HomePageInfo:46 - SUCCESS: 'Benefits of Donating Blood' section is visible.
2026-06-23 16:36:24 INFO  TS005_HomePageInfo:60 - =========================================================
2026-06-23 16:36:24 INFO  TS005_HomePageInfo:61 - STARTING TEST: TC016_sectionEligibilityCriteriaSectionVisibility
2026-06-23 16:36:24 INFO  TS005_HomePageInfo:62 - =========================================================
2026-06-23 16:36:24 INFO  TS005_HomePageInfo:66 - Checking if the 'Eligibility Criteria' section is visible on the Home page...
2026-06-23 16:36:24 INFO  TS005_HomePageInfo:70 - SUCCESS: 'Eligibility Criteria' section is visible.
